Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC
go-lang-plugin-org/go-lang-idea-plugin;https://github.com/go-lang-plugin-org/go-lang-idea-plugin;Java;29/08/2010 08:20;10;4587;21;133058631;149536788;14307533;3724163;6.0;2.0;5.0
chentao0707/SimplifyReader;https://github.com/chentao0707/SimplifyReader;Java;17/08/2015 08:22;5;4575;0;133120615;149608147;14316575;3725007;2.0;1.0;3.0
danielzeller/Depth-LIB-Android-;https://github.com/danielzeller/Depth-LIB-Android-;Java;27/04/2016 09:37;4;4572;0;133126073;149615015;14317736;3725287;2.0;1.0;2.0
intuit/karate;https://github.com/intuit/karate;Java;07/02/2017 15:59;4;4568;35;133197788;149703351;14329886;3730897;4.0;1.0;3.5
ZXZxin/ZXBlog;https://github.com/ZXZxin/ZXBlog;Java;02/02/2019 06:36;2;4566;0;133284691;149820407;14354467;3737549;1.0;1.0;1.0
danikula/AndroidVideoCache;https://github.com/danikula/AndroidVideoCache;Java;01/04/2015 11:25;5;4559;20;133289961;149826918;14355490;3737798;3.0;1.0;4.0
hibernate/hibernate-orm;https://github.com/hibernate/hibernate-orm;Java;04/10/2010 16:15;10;4554;16;134359970;151085729;14540795;3744430;5.0;1.0;4.0
wdullaer/MaterialDateTimePicker;https://github.com/wdullaer/MaterialDateTimePicker;Java;03/01/2015 19:41;6;4537;54;134375855;151104580;14543420;3744842;5.0;1.0;7.0
SplashCodes/JAViewer;https://github.com/SplashCodes/JAViewer;Java;21/05/2016 08:47;4;4535;10;134386182;151116860;14545140;3745147;4.0;1.0;2.0
JakeWharton/NineOldAndroids;https://github.com/JakeWharton/NineOldAndroids;Java;08/12/2011 19:46;9;4522;0;134398166;151130447;14546543;3745435;2.0;1.0;2.0
MinecraftForge/MinecraftForge;https://github.com/MinecraftForge/MinecraftForge;Java;30/01/2012 01:35;9;4517;0;134526850;151273889;14560555;3746745;5.0;1.0;4.0
jdamcd/android-crop;https://github.com/jdamcd/android-crop;Java;13/03/2014 10:24;7;4491;6;134529746;151277618;14561177;3746973;1.0;1.0;2.0
facebook/shimmer-android;https://github.com/facebook/shimmer-android;Java;27/02/2015 22:25;6;4489;5;134531984;151280411;14561516;3747201;9.0;2.0;12.0
junit-team/junit5;https://github.com/junit-team/junit5;Java;11/01/2015 19:06;6;4487;49;134664484;151438407;14586307;3750009;3.0;1.0;2.0
Flipboard/bottomsheet;https://github.com/Flipboard/bottomsheet;Java;23/04/2015 17:37;5;4483;10;134668715;151443603;14587019;3750312;3.0;1.0;1.0
google/google-authenticator;https://github.com/google/google-authenticator;Java;08/10/2014 17:54;6;4471;0;134689362;151466301;14588738;3752260;2.0;1.0;4.0
debezium/debezium;https://github.com/debezium/debezium;Java;22/01/2016 20:17;5;4465;0;134920454;151738220;14625774;3757762;4.0;1.0;6.0
zhanghai/Douya;https://github.com/zhanghai/Douya;Java;01/02/2016 13:44;5;4460;11;134991344;151823482;14639848;3758414;4.0;1.0;4.0
youlookwhat/CloudReader;https://github.com/youlookwhat/CloudReader;Java;20/11/2016 11:59;4;4458;23;135021122;151858466;14644736;3758782;3.0;1.0;3.0
ffay/lanproxy;https://github.com/ffay/lanproxy;Java;20/11/2016 08:12;4;4446;1;135069540;151913541;14651156;3759217;3.0;1.0;3.0
square/android-times-square;https://github.com/square/android-times-square;Java;30/01/2013 20:28;8;4431;0;135073998;151918976;14651925;3759492;4.0;1.0;1.0
kyleduo/SwitchButton;https://github.com/kyleduo/SwitchButton;Java;09/09/2014 07:20;6;4427;0;135077876;151923804;14652618;3759791;2.0;1.0;2.0
