Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
rstudio/rstudio;https://github.com/rstudio/rstudio;Java;07/12/2010 19:10;10;3580;0;45022176;51346354;5360582;1370211;3.0;1.0;2.0;9.0
dromara/soul;https://github.com/dromara/soul;Java;11/07/2018 08:17;2;3571;1;45113952;51452650;5373002;1372705;4.0;1.0;2.0;13.0
bjmashibing/InternetArchitect;https://github.com/bjmashibing/InternetArchitect;Java;19/10/2019 16:32;1;3546;0;45631577;52069917;5465383;1404377;3.0;1.0;3.0;16.0
dongjunkun/DropDownMenu;https://github.com/dongjunkun/DropDownMenu;Java;23/06/2015 07:43;5;3544;2;45633286;52072162;5465670;1404651;3.0;1.0;2.0;6.0
brianfrankcooper/YCSB;https://github.com/brianfrankcooper/YCSB;Java;19/04/2010 20:52;10;3541;55;45677930;52126237;5473052;1406822;3.0;1.0;10.0;47.0
luontola/retrolambda;https://github.com/luontola/retrolambda;Java;20/07/2013 07:25;7;3541;0;45686772;52137163;5474882;1407151;1.0;1.0;1.0;5.5
tyrantgit/ExplosionField;https://github.com/tyrantgit/ExplosionField;Java;23/09/2015 11:34;5;3540;0;45687861;52138716;5475098;1407409;2.0;1.5;2.5;20.5
baoyongzhang/SwipeMenuListView;https://github.com/baoyongzhang/SwipeMenuListView;Java;24/08/2014 15:40;6;3533;2;45690332;52141901;5475553;1407678;2.0;1.0;2.0;12.0
kiegroup/drools;https://github.com/kiegroup/drools;Java;18/02/2011 08:37;10;3530;0;46942452;53588173;5668814;1409507;4.0;1.0;5.0;23.0
pqpo/SmartCropper;https://github.com/pqpo/SmartCropper;Java;03/08/2017 11:08;3;3528;13;47023672;53691362;5684529;1416862;3.0;1.0;4.0;13.0
JZ-Darkal/AndroidHttpCapture;https://github.com/JZ-Darkal/AndroidHttpCapture;Java;15/10/2016 19:48;4;3523;1;47076949;53749154;5688785;1417341;2.5;1.0;4.0;18.5
oblac/jodd;https://github.com/oblac/jodd;Java;07/09/2012 20:26;8;3519;37;47138639;53823846;5700423;1419011;3.0;1.0;4.0;19.5
willowtreeapps/spruce-android;https://github.com/willowtreeapps/spruce-android;Java;23/02/2017 20:34;4;3512;3;47148379;53835364;5701914;1419362;3.0;1.0;3.0;15.0
lsjwzh/RecyclerViewPager;https://github.com/lsjwzh/RecyclerViewPager;Java;17/01/2015 18:30;6;3507;10;47152769;53840781;5702610;1419718;2.0;1.0;2.0;20.0
arimorty/floatingsearchview;https://github.com/arimorty/floatingsearchview;Java;22/11/2015 02:38;5;3505;0;47159567;53848955;5703731;1420012;2.0;1.0;2.0;7.0
apache/incubator-heron;https://github.com/apache/incubator-heron;Java;25/09/2015 16:09;5;3504;54;47484350;54255947;5757986;1449221;4.0;1.0;4.0;19.0
kikoso/android-stackblur;https://github.com/kikoso/android-stackblur;Java;15/08/2013 14:44;7;3504;0;47487786;54260448;5758750;1449533;0.0;1.0;0.0;5.0
sunfusheng/MarqueeView;https://github.com/sunfusheng/MarqueeView;Java;01/06/2016 06:50;4;3502;0;47490151;54263456;5759137;1449839;4.0;1.0;2.0;17.0
