Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
qunarcorp/bistoury;https://github.com/qunarcorp/bistoury;Java;01/08/2019 07:54;1;2761;8;28318640;30857142;2258937;455825;3.0;1.0;5.0;23.0
Tencent/MSEC;https://github.com/Tencent/MSEC;Java;28/11/2016 01:50;4;2760;0;28678969;31287779;2318133;471916;3.0;1.0;10.0;37.0
Teevity/ice;https://github.com/Teevity/ice;Java;14/06/2013 20:56;7;2756;3;28693481;31304725;2320170;472435;3.0;1.0;6.0;25.0
FinalTeam/RxGalleryFinal;https://github.com/FinalTeam/RxGalleryFinal;Java;22/04/2016 01:41;4;2753;1;28699708;31312339;2321163;472939;2.0;1.0;3.0;12.0
trojan-gfw/igniter;https://github.com/trojan-gfw/igniter;Java;08/11/2018 22:19;2;2751;31;28711634;31326199;2322696;473381;2.0;1.0;2.0;9.0
airbnb/airpal;https://github.com/airbnb/airpal;Java;05/05/2014 18:51;6;2750;0;28723966;31341097;2324906;473810;4.0;1.0;3.0;14.0
traccar/traccar;https://github.com/traccar/traccar;Java;16/04/2012 08:33;8;2749;32;28815824;31452939;2344421;474249;4.0;2.0;1.0;13.0
JoanZapata/android-pdfview;https://github.com/JoanZapata/android-pdfview;Java;21/11/2012 16:19;8;2749;0;28821352;31459934;2345524;474627;2.0;1.0;3.0;12.0
evrencoskun/TableView;https://github.com/evrencoskun/TableView;Java;13/06/2017 04:29;3;2746;11;28833493;31474955;2347974;475110;4.0;1.0;4.0;19.5
jenkinsci/blueocean-plugin;https://github.com/jenkinsci/blueocean-plugin;Java;23/01/2016 18:02;5;2745;22;29104981;31770269;2370629;476728;5.0;1.0;4.0;18.0
cabaletta/baritone;https://github.com/cabaletta/baritone;Java;01/08/2018 15:34;2;2744;55;29137501;31807849;2375239;477405;4.0;1.0;5.0;18.0
Yalantis/GuillotineMenu-Android;https://github.com/Yalantis/GuillotineMenu-Android;Java;15/06/2015 13:56;5;2743;2;29138847;31809904;2375579;477787;2.0;1.0;2.0;12.0
north2016/T-MVP;https://github.com/north2016/T-MVP;Java;09/05/2016 05:55;4;2743;0;29143759;31816074;2376532;478376;3.0;1.0;3.0;14.0
ballerina-platform/ballerina-lang;https://github.com/ballerina-platform/ballerina-lang;Java;16/11/2016 14:58;4;2739;83;31220129;34055934;2526136;490564;5.0;1.0;5.0;25.0
watabou/pixel-dungeon;https://github.com/watabou/pixel-dungeon;Java;26/07/2014 17:34;6;2737;0;31270596;34118318;2537758;490859;4.0;2.0;4.0;25.0
jiajunhui/PlayerBase;https://github.com/jiajunhui/PlayerBase;Java;28/03/2017 10:19;3;2735;18;31284382;34135078;2540349;491321;3.0;1.0;4.0;14.0
questdb/questdb;https://github.com/questdb/questdb;Java;28/04/2014 23:29;6;2732;30;31753420;34660045;2586099;501418;5.0;1.0;4.0;19.0
Nightonke/WoWoViewPager;https://github.com/Nightonke/WoWoViewPager;Java;03/03/2016 04:29;5;2731;0;31766647;34675747;2588163;501918;4.0;2.0;3.0;22.0
h2database/h2database;https://github.com/h2database/h2database;Java;10/04/2015 19:09;5;2729;12;32153897;35108075;2630775;505522;6.0;2.0;13.0;53.5
burhanrashid52/PhotoEditor;https://github.com/burhanrashid52/PhotoEditor;Java;23/01/2018 11:44;3;2728;9;32161483;35117322;2632008;506020;3.0;1.0;3.0;13.0
zhaojun1998/zfile;https://github.com/zhaojun1998/zfile;Java;19/08/2019 13:57;1;2727;36;32163214;35119879;2632545;506322;5.0;1.0;3.0;17.0
szerhusenBC/jwt-spring-security-demo;https://github.com/szerhusenBC/jwt-spring-security-demo;Java;20/03/2016 19:16;4;2722;3;32165212;35122706;2633030;506666;4.0;1.0;2.0;13.0
code-troopers/android-betterpickers;https://github.com/code-troopers/android-betterpickers;Java;21/03/2013 01:45;7;2720;16;32192600;35154535;2637043;507278;4.0;1.0;2.0;13.0
google/binnavi;https://github.com/google/binnavi;Java;19/08/2015 12:20;5;2720;3;34560045;37629396;2741466;510491;5.0;1.0;2.0;16.0
dingjikerbo/Android-BluetoothKit;https://github.com/dingjikerbo/Android-BluetoothKit;Java;08/10/2015 09:07;5;2711;0;34568323;37640124;2743565;510873;2.0;1.0;2.0;12.0
googlearchive/android-Camera2Basic;https://github.com/googlearchive/android-Camera2Basic;Java;26/06/2014 15:53;6;2710;0;34572236;37645144;2744318;511259;2.5;1.0;2.0;13.0
Nightonke/CoCoin;https://github.com/Nightonke/CoCoin;Java;17/10/2015 13:50;5;2710;0;34601745;37679795;2749091;511783;3.0;1.0;2.0;11.0
RobotiumTech/robotium;https://github.com/RobotiumTech/robotium;Java;10/12/2009 12:51;11;2706;0;34612671;37693203;2751286;512102;2.0;1.0;4.0;24.0
KingJA/LoadSir;https://github.com/KingJA/LoadSir;Java;02/09/2017 08:32;3;2703;6;34635541;37717375;2752113;512498;3.0;1.5;2.0;12.5
MagicMashRoom/SuperCalendar;https://github.com/MagicMashRoom/SuperCalendar;Java;11/05/2017 12:28;3;2697;13;34636971;37719477;2752413;512885;2.0;1.0;2.0;8.0
saulmm/CoordinatorBehaviorExample;https://github.com/saulmm/CoordinatorBehaviorExample;Java;16/08/2015 04:14;5;2695;0;34637881;37720927;2752631;513214;9.5;1.5;15.5;79.5
jfeinstein10/JazzyViewPager;https://github.com/jfeinstein10/JazzyViewPager;Java;01/02/2013 04:57;8;2694;0;34639407;37723055;2752912;513541;1.0;1.0;2.0;17.0
wenmingvs/AndroidProcess;https://github.com/wenmingvs/AndroidProcess;Java;19/01/2016 06:28;5;2694;0;34642709;37727219;2753411;513933;2.0;1.0;2.0;10.0
