Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
davemorrissey/subsampling-scale-image-view;https://github.com/davemorrissey/subsampling-scale-image-view;Java;26/08/13 16:45:25;7;6677;21;91408439;103765493;10878602;2658392;3.5;1.0;3.0;14.5
Qihoo360/RePlugin;https://github.com/Qihoo360/RePlugin;Java;08/06/17 09:39:09;3;6660;17;91465294;103832339;10887332;2659982;3.0;1.0;5.0;21.5
gedoor/MyBookshelf;https://github.com/gedoor/MyBookshelf;Java;12/06/18 03:48:07;2;6645;160;91544893;103922836;10897919;2661032;4.0;1.0;5.0;18.5
resilience4j/resilience4j;https://github.com/resilience4j/resilience4j;Java;03/06/15 09:21:01;5;6620;28;91642423;104036671;10913963;2661655;5.0;1.0;4.0;23.0
kevin-wayne/algs4;https://github.com/kevin-wayne/algs4;Java;31/08/15 09:28:49;5;6524;0;91691796;104091873;10919596;2662005;4.0;1.0;18.0;58.0
DroidPluginTeam/DroidPlugin;https://github.com/DroidPluginTeam/DroidPlugin;Java;27/08/15 11:14:57;5;6521;2;91726877;104132875;10924943;2662606;2.0;3.0;1.0;5.0
apache/cassandra;https://github.com/apache/cassandra;Java;21/05/09 02:10:09;11;6497;0;92608587;105131396;11032877;2672339;5.0;1.0;5.0;22.0
yanzhenjie/AndPermission;https://github.com/yanzhenjie/AndPermission;Java;11/09/16 05:17:34;4;6486;0;92617300;105141716;11034283;2672555;3.0;1.0;3.0;13.0
alibaba/otter;https://github.com/alibaba/otter;Java;09/08/13 09:31:22;7;6478;10;92739196;105284817;11053930;2675100;3.0;1.0;4.0;21.0
dyc87112/SpringCloud-Learning;https://github.com/dyc87112/SpringCloud-Learning;Java;21/08/16 03:39:52;4;6474;0;92788262;105341153;11060850;2676157;5.0;1.0;2.0;13.0
naman14/Timber;https://github.com/naman14/Timber;Java;12/06/15 16:43:55;5;6473;5;92819050;105378048;11066716;2676503;3.0;1.0;2.0;14.0
barteksc/AndroidPdfViewer;https://github.com/barteksc/AndroidPdfViewer;Java;02/06/16 20:21:21;4;6447;0;92824651;105384976;11067786;2676827;1.0;1.0;2.0;10.0
java-native-access/jna;https://github.com/java-native-access/jna;Java;29/04/11 13:30:29;9;6403;0;93098480;105703296;11103143;2689019;3.0;2.0;2.0;11.0
newbee-ltd/newbee-mall;https://github.com/newbee-ltd/newbee-mall;Java;21/09/19 03:56:04;1;6392;0;93272497;105933327;11158438;2693298;2.0;1.0;10.0;30.0
eclipse/che;https://github.com/eclipse/che;Java;26/03/15 15:31:01;5;6387;26;93611954;106321085;11201750;2699423;3.0;1.0;3.0;11.0
zendesk/android-floating-action-button;https://github.com/zendesk/android-floating-action-button;Java;19/09/14 06:49:21;6;6325;0;93614284;106324183;11202273;2699687;3.0;1.0;2.0;8.0
abel533/Mapper;https://github.com/abel533/Mapper;Java;21/11/14 11:02:10;6;6321;2;93650604;106365744;11207107;2700215;4.0;1.0;3.0;16.0
NLPchina/elasticsearch-sql;https://github.com/NLPchina/elasticsearch-sql;Java;24/08/14 14:26:31;6;6285;154;93801536;106534721;11224070;2703367;5.0;1.0;11.0;48.0
seven332/EhViewer;https://github.com/seven332/EhViewer;Java;14/05/14 12:03:52;6;6284;97;93873086;106617017;11234576;2703958;4.0;1.0;6.0;25.0
koush/ion;https://github.com/koush/ion;Java;22/05/13 07:41:23;7;6237;0;93886747;106633065;11236654;2704320;3.0;1.0;2.0;11.0
goldze/MVVMHabit;https://github.com/goldze/MVVMHabit;Java;21/07/17 10:38:40;3;6234;2;93902065;106651232;11239136;2704743;2.0;1.0;2.0;8.0
apache/storm;https://github.com/apache/storm;Java;05/11/13 08:00:14;7;6209;0;94379691;107205467;11308887;2715388;3.0;1.0;5.0;24.0
Exrick/xmall;https://github.com/Exrick/xmall;Java;28/07/17 01:49:49;3;6170;0;94658301;107525710;11349275;2721348;3.0;1.0;12.0;48.0
