Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
orientechnologies/orientdb;https://github.com/orientechnologies/orientdb;Java;09/12/2012 20:33;8;4274;163;13600410;15454243;1576676;375678;6.0;1.0;6.0;33.0
vavr-io/vavr;https://github.com/vavr-io/vavr;Java;30/01/2014 14:07;7;4272;16;13708948;15581251;1592709;379043;5.0;1.0;4.0;21.0
quartz-scheduler/quartz;https://github.com/quartz-scheduler/quartz;Java;07/03/2016 14:05;5;4269;2;13801961;15691740;1609307;380608;3.0;1.0;4.0;20.0
razerdp/BasePopup;https://github.com/razerdp/BasePopup;Java;15/01/2016 03:31;5;4263;14;13809399;15700466;1610222;381092;3.0;1.0;3.0;16.0
AriaLyy/Aria;https://github.com/AriaLyy/Aria;Java;19/02/2016 02:16;5;4256;26;13832936;15727064;1612799;381828;4.0;1.0;6.0;24.0
jankotek/mapdb;https://github.com/jankotek/mapdb;Java;17/08/2012 15:28;8;4252;0;13859006;15757871;1617120;382375;2.0;1.0;4.0;18.0
YunaiV/onemall;https://github.com/YunaiV/onemall;Java;02/05/2019 16:06;1;4251;0;13864997;15765808;1618769;382756;4.0;1.0;0.0;8.0
hazelcast/hazelcast;https://github.com/hazelcast/hazelcast;Java;21/03/2012 12:25;8;4245;43;15051440;17152873;1815185;391046;4.0;1.0;4.0;19.0
gephi/gephi;https://github.com/gephi/gephi;Java;22/10/2011 03:14;9;4234;12;15354408;17493212;1849528;393161;3.0;1.0;4.0;17.0
Ashok-Varma/BottomNavigation;https://github.com/Ashok-Varma/BottomNavigation;Java;19/03/2016 19:19;4;4232;16;15359670;17499877;1850529;393582;5.5;1.0;6.0;34.0
puniverse/quasar;https://github.com/puniverse/quasar;Java;27/03/2013 14:51;7;4224;18;15600827;17759357;1868069;398371;2.0;1.0;2.0;12.0
chillzhuang/SpringBlade;https://github.com/chillzhuang/SpringBlade;Java;30/01/2019 09:02;2;4221;0;15604805;17764292;1868696;398721;5.0;1.0;1.0;7.0
twowaits/SDE-Interview-Questions;https://github.com/twowaits/SDE-Interview-Questions;Java;25/10/2017 11:08;3;4213;1;15606839;17767245;1869290;399223;0.0;1.0;1.0;5.0
techGay/v9porn;https://github.com/techGay/v9porn;Java;12/04/2018 14:32;2;4204;8;15621173;17785127;1872432;399721;3.0;1.0;2.0;10.0
alibaba/jvm-sandbox;https://github.com/alibaba/jvm-sandbox;Java;03/08/2017 02:55;3;4199;12;15627007;17792807;1873861;400145;2.0;1.0;2.0;10.5
firebase/FirebaseUI-Android;https://github.com/firebase/FirebaseUI-Android;Java;09/07/2015 17:31;5;4195;61;15668275;17841419;1880552;402357;4.0;1.0;2.5;11.0
bingoogolapple/BGARefreshLayout-Android;https://github.com/bingoogolapple/BGARefreshLayout-Android;Java;28/05/2015 16:17;5;4176;4;15669879;17843635;1880846;402699;3.0;1.0;2.0;9.5
jeasonlzy/ImagePicker;https://github.com/jeasonlzy/ImagePicker;Java;27/01/2016 17:05;5;4168;5;15671763;17846188;1881163;403075;3.0;1.0;3.0;13.0
sofastack/sofa-boot;https://github.com/sofastack/sofa-boot;Java;02/04/2018 08:28;2;4162;43;15717387;17898370;1887294;403556;4.0;1.0;2.0;13.0
hustcc/JS-Sorting-Algorithm;https://github.com/hustcc/JS-Sorting-Algorithm;Java;19/01/2017 11:36;4;4155;0;15717844;17899233;1887407;403863;3.0;1.0;7.5;31.0
Tencent/GT;https://github.com/Tencent/GT;Java;13/01/2016 10:29;5;4153;3;15781809;17974420;1897449;406158;2.0;1.0;3.0;18.0
